icao24,r,t
400b82,G-DBCD,A319
4004ce,G-DOCF,B734
405fb6,G-COBO,AT72
40041c,G-BNWB,B763
400b27,G-CELG,B733
400d70,G-OSPY,SR20
400cb4,G-WLDN,R44
4004c5,G-BNLW,B744
405c0f,G-ECOW,DH8D
405fd5,G-ECOT,DH8D
400834,G-MIDX,A320
400568,G-VFAB,B744
4008f9,G-VROM,B744
400700000,G-OZBM,A321
3410c7,EC-FDB,A320
4009f5,G-DHRG,A320
4010da,G-EUXJ,A321
4ca4ec,EI-DPH,B738
405fb5,G-VZON,
4007b5,G-FCLF,B752
405858,G-KKEV,DH8D
4010dd,G-EUXM,A321
40093e,G-EUOE,A319
4a80a0,SE-DIK,MD82
400bd9,G-EJJB,A319
4006be,G-CPES,B752
404e3b,G-CDND,GA7
4ca2db,EI-DLO,B738
4ca0bc,EI-CPC,A321
4ca214,EI-DEE,A320
400590,G-MPCD,A320
3c7204,D-ALPD,A332
4ca6a9,EI-DYV,B738
400416,G-BUSG,A320
40078a,G-OOBG,B752
4011c2,G-JORD,R44
400982,G-EUUG,A320
40076c,G-SMAN,A332
a1d546,N217UA,B772
400fe3,G-EZBT,A319
400471,G-DAJB,B752
40057e,G-CIVE,B744
4009de,G-OOBD,B752
400a7e,G-OZBH,A321
4ca2cb,EI-DER,A320
40068f,G-CIVN,B744
405d10,G-EZDW,A319
400eff,G-EZBE,A319
461f2e,OH-LVA,A319
7608ea,AP-BGJ,B772
4692d2,SX-DVR,A320
400efc,G-EZBB,A319
c021fd,C-FMWQ,B763
400a51,G-EZKC,B737
405a48,G-EUUZ,A320
400682,G-BWWT,D328
400a35,G-CELE,B733
400a25,G-EUUP,A320
8960dc,A6-EBU,B77W
400754,G-BYAX,B752
40123f,G-EUUS,A320
402ee9,G-BRDM,P28A
400677,G-VTOP,B744
abd3cf,N861NW,A332
e48189,PT-MUA,B77W
4ac916,SE-RHV,B733
4009ac,G-EZJS,B737
405bfb,G-YMMR,B772
3c6654,D-AIRT,A321
400a02,G-OZBG,A321
400ddc,G-JECJ,DH8D
400afc,G-EUXD,A321
400561,G-GBTA,B734
405f09,G-EZFA,A319
3c6dc7,D-AKNG,A319
4951c9,CS-TNI,A320
405d0f,G-EZDV,A319
4008b3,G-EUPS,A319
4009b3,G-VATL,A346
896000000,A6-EDD,A388
3cc644,D-CCJS,C680
400b2d,G-SHUG,P28A
478461,LN-KKZ,B733
400af7,G-EZAM,A319
400598,G-BVKD,B735
a49136,N39365,B763
400a14,G-EZJZ,B737
400b44,G-CELI,B733
394900,F-GSPC,B772
ab1a3d,N814WS,C510
4010dc,G-EUXL,A321
400878,G-EUPH,A319
34148a,EC-HUJ,A320
894036,A9C-LI,A343
4ca1c3,EI-DAL,B738
40061a,G-FCLD,B752
4009da,G-EUUM,A320
400832,G-OZBO,A321
42417b,VP-CGD,F900
30028b,I-EEZL,A332
4008c8,G-FIRM,C550
4ca6c6,EI-MJC,C25B
4007ef,G-YMMD,B772
4007f9,G-YMMN,B772
401100,G-CEJO,B738
400df6,G-JECL,DH8D
3c4e48,D-ACRH,CRJ2
40092f,G-JEDJ,DH8D
400daf,G-EZAK,A319
401077,G-LSAG,B752
4004c7,G-BNLY,B744
4951cb,CS-TNK,A320
49d0a3,OK-XGC,B735
46d125,SX-TIE,B742
400ff2,G-FDZA,B738
400c4b,G-EZII,A319
40100a,G-JECR,DH8D
4006bd,G-CPER,B752
400a30,G-TCDA,A321
46008c,OH-AFK,B752
4ca736,EI-EBM,B738
401229,G-FBEF,E190
40067c,G-OMYJ,A321
406020,G-FRZN,A109
896145,A6-EHB,A345
342591,EC-KHN,A320
7101f2,HZ-ARK,GLF5
4004ed,G-DOCO,B734
18046,5A-LAE,CRJ9
400d89,G-MEDL,A321
400614,G-CIVL,B744
a7e648,N608PM,GLF4
400c54,G-TCAC,A320
4010ec,G-EZBX,A319
400b46,G-CELK,B733
341687,EC-IMU,A320
a98391,N712AX,B762
400573,G-BYAT,B752
40087b,G-EUPL,A319
400afd,G-EUXE,A321
40543f,G-FBEI,E190
400a7d,G-DBCB,A319
400a15,G-EZKA,B737
40041d,G-BNWC,B763
400423,G-BNWI,B763
4ca5d8,EI-RJV,RJ85
40109d,G-SEFC,B737
4008f2,G-EUPY,A319
400000000,G-MAJP,JS41
400a2b,G-JEDN,DH8D
4ca562,EI-DPW,B738
400aee,G-OOBI,B752
394727,F-GRZH,CRJ7
4ca61c,EI-DWO,B738
400a43,G-JEDO,DH8D
395020,F-GUBA,E145
